时间,商品名称,库存变化,单笔销量
2026-05-07 10:46:29,red国际地址,初始销量: 0,0
2026-05-07 10:46:29,red韩国地址,初始销量: -5,5
2026-05-07 10:46:29,red中国地址,初始销量: -5,5
2026-05-07 10:46:29,ice国际地址,初始销量: 0,0
2026-05-07 10:46:29,ice韩国地址,初始销量: -21,21
2026-05-07 10:46:29,ice中国地址,初始销量: -13,13
2026-05-07 10:56:00,red韩国地址,-5->-6,1
2026-05-07 10:56:00,ice韩国地址,-21->-22,1
2026-05-07 11:02:28,red韩国地址,-6->-8,2
2026-05-07 11:02:39,ice韩国地址,-22->-23,1
2026-05-07 11:09:42,red中国地址,-5->-6,1
2026-05-07 11:09:55,ice中国地址,-13->-14,1
2026-05-07 11:41:56,red中国地址,-6->-8,2
2026-05-07 11:45:45,ice中国地址,-14->-5,-9
2026-05-07 11:49:24,red中国地址,-8->-9,1
2026-05-07 11:51:36,ice国际地址,0->-1,1
2026-05-07 11:52:00,red国际地址,0->-1,1
2026-05-07 11:53:50,ice国际地址,-1->0,-1
2026-05-07 11:54:14,red国际地址,-1->0,-1
2026-05-07 11:55:21,red国际地址,0->-1,1
2026-05-07 11:55:55,ice国际地址,0->-1,1
2026-05-07 12:05:29,red韩国地址,-8->-9,1
2026-05-07 12:23:07,ice韩国地址,-23->-25,2
2026-05-07 12:23:55,red韩国地址,-9->-10,1
2026-05-07 12:49:56,red中国地址,-9->-8,-1
2026-05-07 12:51:14,red国际地址,-1->-3,2
2026-05-07 12:51:14,ice国际地址,-1->-3,2
2026-05-07 12:57:41,red韩国地址,-10->-12,2
2026-05-07 12:57:54,ice韩国地址,-25->-26,1
2026-05-07 13:07:34,red韩国地址,-12->-16,4
2026-05-07 13:07:47,ice韩国地址,-26->-30,4
2026-05-07 13:30:41,ice韩国地址,-30->-31,1
2026-05-07 13:32:10,red中国地址,-8->-9,1
2026-05-07 13:32:10,ice中国地址,-5->-6,1
2026-05-07 14:20:58,red韩国地址,-16->-17,1
2026-05-07 14:22:06,red韩国地址,-17->-16,-1
2026-05-07 14:27:36,red韩国地址,-16->-21,5
2026-05-07 14:27:36,ice韩国地址,-31->-38,7
2026-05-07 14:32:05,red韩国地址,-21->-26,5
2026-05-07 14:32:05,ice韩国地址,-38->-44,6
2026-05-07 14:35:16,red韩国地址,-26->-21,-5
2026-05-07 14:35:30,ice韩国地址,-44->-38,-6
2026-05-07 14:46:37,ice韩国地址,-38->-39,1
2026-05-07 14:47:34,red韩国地址,-21->-22,1
2026-05-07 15:09:30,red韩国地址,-22->-230,208
2026-05-07 15:11:45,red韩国地址,-230->-22,-208
2026-05-07 16:11:56,red韩国地址,-22->-23,1
2026-05-07 16:25:38,ice韩国地址,-39->-25,-14
2026-05-07 16:38:57,ice韩国地址,-25->-27,2
2026-05-07 16:39:10,red韩国地址,-23->-26,3
2026-05-07 17:04:47,red中国地址,-9->-10,1
2026-05-07 17:11:53,ice韩国地址,-27->-29,2
2026-05-07 17:56:46,red国际地址,-3->-4,1
2026-05-07 17:57:11,ice国际地址,-3->-4,1
2026-05-07 18:04:58,ice韩国地址,-29->-30,1
2026-05-07 18:11:45,red韩国地址,-26->-27,1
2026-05-07 18:11:59,ice韩国地址,-30->-31,1
2026-05-07 18:25:33,red韩国地址,-27->-25,-2
2026-05-07 18:25:33,ice韩国地址,-31->-30,-1
2026-05-07 19:05:17,ice国际地址,-4->-3,-1
2026-05-07 19:05:52,red国际地址,-4->-3,-1
2026-05-07 20:25:08,red中国地址,-10->-12,2
2026-05-07 20:25:21,ice中国地址,-6->-8,2
2026-05-07 21:28:00,red中国地址,-12->-25,13
2026-05-07 21:43:18,red韩国地址,-25->-108,83
2026-05-07 21:44:13,ice韩国地址,-30->-113,83
2026-05-07 21:48:41,ice中国地址,-8->-9,1
2026-05-07 22:10:04,red韩国地址,-108->-109,1
2026-05-07 22:34:22,red中国地址,-25->-26,1
2026-05-07 22:34:57,ice中国地址,-9->-10,1
2026-05-07 23:06:37,ice韩国地址,-113->-114,1
2026-05-07 23:06:50,red韩国地址,-109->-110,1
2026-05-07 23:32:21,ice中国地址,-10->-12,2
2026-05-07 23:33:16,red中国地址,-26->-27,1
2026-05-08 00:00:39,red韩国地址,110->148,38
2026-05-08 00:00:39,ice中国地址,-12->-13,1
2026-05-08 00:00:39,ice韩国地址,-114->-252,138
2026-05-08 00:04:26,ice韩国地址,-252->-251,-1
2026-05-08 02:26:39,red韩国地址,-248->-252,4
2026-05-08 02:29:10,red韩国地址,-252->-248,-4
2026-05-08 03:46:54,red韩国地址,-248->-165,-83
2026-05-08 03:46:54,ice韩国地址,-251->-168,-83
2026-05-08 04:27:10,red韩国地址,-165->-164,-1
2026-05-08 08:13:43,red中国地址,-27->-32,5
2026-05-08 08:13:56,ice中国地址,-13->-18,5
2026-05-08 11:11:02,red中国地址,-32->-34,2
2026-05-08 11:11:16,ice中国地址,-18->-19,1
2026-05-08 11:23:15,ice中国地址,-19->-21,2
2026-05-08 11:23:51,red中国地址,-34->-35,1
2026-05-08 12:25:48,red中国地址,-35->-34,-1
2026-05-08 12:26:50,ice中国地址,-21->-19,-2
2026-05-08 14:41:51,ice韩国地址,-168->-169,1
2026-05-08 14:49:22,ice韩国地址,-169->-170,1
2026-05-08 15:41:37,ice韩国地址,-170->-172,2
2026-05-08 15:54:24,red韩国地址,-164->-281,117
2026-05-08 15:54:24,ice韩国地址,-172->-289,117
2026-05-08 17:06:09,ice中国地址,-19->-32,13
2026-05-08 17:18:58,red中国地址,-34->-47,13
2026-05-08 17:20:09,red中国地址,-47->-34,-13
2026-05-08 20:34:28,ice中国地址,-32->-45,12
2026-05-08 20:39:23,red韩国地址,-281->-342,61
2026-05-08 20:46:23,ice韩国地址,-289->-287,-2
2026-05-08 21:25:18,red韩国地址,-342->-426,84
2026-05-08 21:26:13,ice韩国地址,-287->-372,85
2026-05-08 21:34:36,red国际地址,-3->-10,7
